code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
1138,,,2.9,5,EXTENSION 440 VOLTS ,,,1,1,,,PZA,0.5
202,,,2.9,5,CARETA PARA SOLDAR CON VISERA,,,1,1,,,PZA,0.0625
295,,,2.9,5,SOLDADORA 225 AMP 110/220V,,,1,1,,,PZA,3.125
326,,,2.9,5,"TRONZADORA DE 14""",,,1,1,,,PZA,0.5
895,,,2.9,5,CABLE TIERRA ESPECIAL 25 MTS,,,1,1,,,PZA,0.71875
2.10,,,,2,Desencolillado en colectores,,,,32,85,8,PZA,
141,,,2.10,4,FABRICADOR 1RA,,,1,9.41176470588235E-02,,,Horas,1.4425
2,,,2.10,4,AYUDANTE,,,3,0.282352941176471,,,Horas,1.04625
501,,,2.10,4,PLANIFICADOR,,,0.13,1.22352936688591E-02,,,Horas,2.3325
502,,,2.10,4,SUPERVISOR DE SEGURIDAD,,,0.25,2.35294117647059E-02,,,Horas,2.3325
533,,,2.10,4,CAPATAZ,,,0.5,4.70588235294118E-02,,,Horas,2.0625
1007,,,2.10,5,EXTENSION ELECTRICA 100 MTS,,,2,0.188235294117647,,,PZA,0.15625
1115,,,2.10,5,ESMERIL RECTO,,,1,9.41176470588235E-02,,,PZA,0.49875
1127,,,2.10,5,ILUMINACION PROVISIONAL,,,1,9.41176470588235E-02,,,PZA,0.1875
1221,,,2.10,5,BOTADORES ,,,1,9.41176470588235E-02,,,PZA,0.125
1416,,,2.10,5,MANDARRIA 2 KG,,,1,9.41176470588235E-02,,,PZA,0.10625
170,,,2.10,5,CINCEL PUNTA PLANA 1'' X 10'',,,1,9.41176470588235E-02,,,PZA,0.01625
432,,,2.10,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1,9.41176470588235E-02,,,PZA,1
666,,,2.10,5,CARRUCHA DE 2 RUEDAS,,,1,9.41176470588235E-02,,,PZA,0.325
2.11,,,,2,Limpieza de huecos en colectores,,,,32,80,8,PZA,
141,,,2.11,4,FABRICADOR 1RA,,,1,0.1,,,Horas,1.4425
2,,,2.11,4,AYUDANTE,,,1,0.1,,,Horas,1.04625
501,,,2.11,4,PLANIFICADOR,,,0.13,1.29999995231628E-02,,,Horas,2.3325
502,,,2.11,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.025,,,Horas,2.3325
533,,,2.11,4,CAPATAZ,,,0.5,0.05,,,Horas,2.0625
1001,,,2.11,5,MOTORTOOL,,,1,0.1,,,PZA,0.375
1007,,,2.11,5,EXTENSION ELECTRICA 100 MTS,,,2,0.2,,,PZA,0.15625
1127,,,2.11,5,ILUMINACION PROVISIONAL,,,1,0.1,,,PZA,0.1875
1424,,,2.11,5,BRUÑIDOR DE ORIFICIOS,,,1,0.1,,,PZA,0.3125
2.12,,,,2,"Corte, limpieza y preparación de punta tubería nueva",,,,96,100,8,PUNTA,
141,,,2.12,4,FABRICADOR 1RA,,,1,0.08,,,Horas,1.4425
2,,,2.12,4,AYUDANTE,,,2,0.16,,,Horas,1.04625
501,,,2.12,4,PLANIFICADOR,,,0.13,1.03999996185303E-02,,,Horas,2.3325
502,,,2.12,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.02,,,Horas,2.3325
533,,,2.12,4,CAPATAZ,,,0.5,0.04,,,Horas,2.0625
1001,,,2.12,5,MOTORTOOL,,,1,0.08,,,PUNTA,0.375
1007,,,2.12,5,EXTENSION ELECTRICA 100 MTS,,,1,0.08,,,PUNTA,0.15625
1115,,,2.12,5,ESMERIL RECTO,,,1,0.08,,,PUNTA,0.49875
1250,,,2.12,5,TRONZADORA INDUSTRIAL,,,1,0.08,,,PUNTA,1
2.13,,,,2,Preparación y montaje de tubería Ø 3 ¼” ASTME 192,,,,32,35,8,PZA,
141,,,2.13,4,FABRICADOR 1RA,,,1,0.228571428571429,,,Horas,1.4425
2,,,2.13,4,AYUDANTE,,,2,0.457142857142857,,,Horas,1.04625
501,,,2.13,4,PLANIFICADOR,,,0.13,2.97142846243722E-02,,,Horas,2.3325
502,,,2.13,4,SUPERVISOR DE SEGURIDAD,,,0.25,5.71428571428571E-02,,,Horas,2.3325
533,,,2.13,4,CAPATAZ,,,0.5,0.114285714285714,,,Horas,2.0625
69,,,2.13,4,SOLDADOR DE 1RA,,,0.1,2.28571431977408E-02,,,Horas,1.3775
765,,,2.13,4,MONTADOR,,,1,0.228571428571429,,,Horas,1.4425
1021,,,2.13,5,PATECLA ,,,1,0.228571428571429,,,PZA,0.0875
1049,,,2.13,5,CABLE PINZA 25 MTRS,,,0.1,2.28571428571429E-02,,,PZA,0.71875
1086,,,2.13,5,MECATE,,,20,4.57142857142857,,,PZA,0.01625
1127,,,2.13,5,ILUMINACION PROVISIONAL,,,1,0.228571428571429,,,PZA,0.1875
1138,,,2.13,5,EXTENSION 440 VOLTS ,,,0.1,2.28571428571429E-02,,,PZA,0.5
1201,,,2.13,5,REACHER 1.5 TON,,,1,0.228571428571429,,,PZA,0.375
1258,,,2.13,5,EXTENSION ELECTRICA 25 MTS,,,1,0.228571428571429,,,PZA,0.15625
202,,,2.13,5,CARETA PARA SOLDAR CON VISERA,,,0.1,2.28571428571429E-02,,,PZA,0.0625
236,,,2.13,5,"NIVEL DE 3 BURBUJAS 14""",,,1,0.228571428571429,,,PZA,0.02875
295,,,2.13,5,SOLDADORA 225 AMP 110/220V,,,0.1,2.28571428571429E-02,,,PZA,3.125
895,,,2.13,5,CABLE TIERRA ESPECIAL 25 MTS,,,0.1,2.28571428571429E-02,,,PZA,0.71875
2.14,,,,2,"Soldadura TIG en tubería Ø 3 ¼"" ASTME 192"" (tubería-tubería)",,,,32,12,8,PEGAS,
2,,,2.14,4,AYUDANTE,,,1,0.666666666666667,,,Horas,1.04625
501,,,2.14,4,PLANIFICADOR,,,0.13,8.66666634877523E-02,,,Horas,2.3325
502,,,2.14,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.166666666666667,,,Horas,2.3325
533,,,2.14,4,CAPATAZ,,,0.5,0.333333333333333,,,Horas,2.0625
696,,,2.14,4,ARGONERO,,,1,0.666666666666667,,,Horas,3.8275
1001,,,2.14,5,MOTORTOOL,,,1,0.666666666666667,,,PEGAS,0.375
1007,,,2.14,5,EXTENSION ELECTRICA 100 MTS,,,2,1.33333333333333,,,PEGAS,0.15625
1049,,,2.14,5,CABLE PINZA 25 MTRS,,,1,0.666666666666667,,,PEGAS,0.71875
1068,,,2.14,5,EQUIPO DE ARGON,,,1,0.666666666666667,,,PEGAS,0.75
1127,,,2.14,5,ILUMINACION PROVISIONAL,,,1,0.666666666666667,,,PEGAS,0.1875
1138,,,2.14,5,EXTENSION 440 VOLTS ,,,1,0.666666666666667,,,PEGAS,0.5
1202,,,2.14,5,"ESMERIL 4""",,,1,0.666666666666667,,,PEGAS,0.34375
202,,,2.14,5,CARETA PARA SOLDAR CON VISERA,,,1,0.666666666666667,,,PEGAS,0.0625
295,,,2.14,5,SOLDADORA 225 AMP 110/220V,,,1,0.666666666666667,,,PEGAS,3.125
895,,,2.14,5,CABLE TIERRA ESPECIAL 25 MTS,,,1,0.666666666666667,,,PEGAS,0.71875
2.15,,,,2,"Soldadura TIG de tubería Ø 3 ¼"" ASTME 192 en colector” (tubería-colector) según procedimiento aprobado por CAPCA",,,,32,12,8,PEGAS,
2,,,2.15,4,AYUDANTE,,,1,0.666666666666667,,,Horas,1.04625
501,,,2.15,4,PLANIFICADOR,,,0.13,8.66666634877523E-02,,,Horas,2.3325
502,,,2.15,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.166666666666667,,,Horas,2.3325
533,,,2.15,4,CAPATAZ,,,0.5,0.333333333333333,,,Horas,2.0625
696,,,2.15,4,ARGONERO,,,1,0.666666666666667,,,Horas,3.8275
1001,,,2.15,5,MOTORTOOL,,,1,0.666666666666667,,,PEGAS,0.375
1007,,,2.15,5,EXTENSION ELECTRICA 100 MTS,,,2,1.33333333333333,,,PEGAS,0.15625
1049,,,2.15,5,CABLE PINZA 25 MTRS,,,1,0.666666666666667,,,PEGAS,0.71875
1068,,,2.15,5,EQUIPO DE ARGON,,,1,0.666666666666667,,,PEGAS,0.75
1127,,,2.15,5,ILUMINACION PROVISIONAL,,,1,0.666666666666667,,,PEGAS,0.1875
1138,,,2.15,5,EXTENSION 440 VOLTS ,,,1,0.666666666666667,,,PEGAS,0.5
1202,,,2.15,5,"ESMERIL 4""",,,1,0.666666666666667,,,PEGAS,0.34375
202,,,2.15,5,CARETA PARA SOLDAR CON VISERA,,,1,0.666666666666667,,,PEGAS,0.0625
295,,,2.15,5,SOLDADORA 225 AMP 110/220V,,,1,0.666666666666667,,,PEGAS,3.125
895,,,2.15,5,CABLE TIERRA ESPECIAL 25 MTS,,,1,0.666666666666667,,,PEGAS,0.71875
2.16,,,,2,"Fabricación de soportes tipo bastón para tubería (barra Acero Inox ¾”),",,,,160,50,8,PZA,
141,,,2.16,4,FABRICADOR 1RA,,,1,0.16,,,Horas,1.4425
2,,,2.16,4,AYUDANTE,,,1,0.16,,,Horas,1.04625
501,,,2.16,4,PLANIFICADOR,,,0.13,2.07999992370605E-02,,,Horas,2.3325
502,,,2.16,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.04,,,Horas,2.3325
533,,,2.16,4,CAPATAZ,,,0.5,0.08,,,Horas,2.0625
1007,,,2.16,5,EXTENSION ELECTRICA 100 MTS,,,1,0.16,,,PZA,0.15625
1163,,,2.16,5,CARETA FACIAL,,,1,0.16,,,PZA,0.125
326,,,2.16,5,"TRONZADORA DE 14""",,,1,0.16,,,PZA,0.5
432,,,2.16,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1,0.16,,,PZA,1
666,,,2.16,5,CARRUCHA DE 2 RUEDAS,,,1,0.16,,,PZA,0.325
2.17,,,,2,"Fabricación de anclajes con ojo chino para tubería (lamina Acero Inox 3/8""),",,,,160,40,8,PZA,
5205,,,2.17,3,CONSUMIBLES DE PLASMA,,,0.007,0.007,,,UND,30
141,,,2.17,4,FABRICADOR 1RA,,,1,0.2,,,Horas,1.4425
2,,,2.17,4,AYUDANTE,,,1,0.2,,,Horas,1.04625
501,,,2.17,4,PLANIFICADOR,,,0.13,2.59999990463257E-02,,,Horas,2.3325
502,,,2.17,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.05,,,Horas,2.3325
533,,,2.17,4,CAPATAZ,,,0.5,0.1,,,Horas,2.0625
1007,,,2.17,5,EXTENSION ELECTRICA 100 MTS,,,1,0.2,,,PZA,0.15625
1163,,,2.17,5,CARETA FACIAL,,,1,0.2,,,PZA,0.125
1260,,,2.17,5,EQUIPO DE PLASMA,,,1,0.2,,,PZA,7.2375
293,,,2.17,5,"ESMERIL DE 7""",,,1,0.2,,,PZA,0.51125
2.18,,,,2,"Montaje y soldadura de anclajes en tubería Ø 3 ¼"" ASTME 192”",,,,160,50,8,PZA,
141,,,2.18,4,FABRICADOR 1RA,,,1,0.16,,,Horas,1.4425
2,,,2.18,4,AYUDANTE,,,2,0.32,,,Horas,1.04625
501,,,2.18,4,PLANIFICADOR,,,0.13,2.07999992370605E-02,,,Horas,2.3325
502,,,2.18,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.04,,,Horas,2.3325
533,,,2.18,4,CAPATAZ,,,0.5,0.08,,,Horas,2.0625
69,,,2.18,4,SOLDADOR DE 1RA,,,1,0.16,,,Horas,1.3775
1007,,,2.18,5,EXTENSION ELECTRICA 100 MTS,,,1,0.16,,,PZA,0.15625
1049,,,2.18,5,CABLE PINZA 25 MTRS,,,1,0.16,,,PZA,0.71875
1138,,,2.18,5,EXTENSION 440 VOLTS ,,,1,0.16,,,PZA,0.5
1163,,,2.18,5,CARETA FACIAL,,,1,0.16,,,PZA,0.125
202,,,2.18,5,CARETA PARA SOLDAR CON VISERA,,,1,0.16,,,PZA,0.0625
293,,,2.18,5,"ESMERIL DE 7""",,,1,0.16,,,PZA,0.51125
295,,,2.18,5,SOLDADORA 225 AMP 110/220V,,,1,0.16,,,PZA,3.125
