code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price,day_price,
004570,,,1.8,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.047127,,,Unidades,0.1713,1.37,
004562,,,1.8,5,ESMERIL 7´´-VARIOS,,,1.0,0.047127,,,Unidades,0.5113,4.09,
000780,,,1.8,5,CARETA PARA SOLDAR CON VISERA,,,1.0,0.047127,,,Pza,0.0625,0.5,
004544,,,1.8,5,CARETA FACIAL-ESTANDAR,,,1.0,0.047127,,,Unidades,0.125,1.0,
008135,,,1.8,5,SEÑORITA DE CADENA 1 1/2 TON,,,2.0,0.094255,,,Unidades,0.3125,2.5,
004818,,,1.8,5,KIT DE GUAYAS PARA IZAMIENTO,,,2.0,0.094255,,,Unidades,0.3125,2.5,
004761,,,1.8,5,KIT DE GRILLETES PARA IZAJE,,,4.0,0.188509,,,Unidades,0.0313,0.25,
1.9,,,1,2,Corte, Fabricacion, Montaje y Soldadura SMAW de Estructuras Metalicas en Acero al Carbono.,,,,1.0,101.526,8,kg,,,
002575,,,1.9,4,PLANIFICADOR,,,0.13,0.010244,,,Dias,2.4963,19.97,
003014,,,1.9,4,SUPERVISOR DE SEGURIDAD,,,0.25,0.019699,,,Dias,2.4963,19.97,
000767,,,1.9,4,CAPATAZ,,,0.5,0.039399,,,Dias,2.2075,17.66,
001532,,,1.9,4,FABRICADOR,,,1.0,0.078798,,,Dias,1.6425,13.14,
002998,,,1.9,4,SOLDADOR,,,1.0,0.078798,,,Dias,1.5688,12.55,
000307,,,1.9,4,AYUDANTE,,,2.0,0.157595,,,Dias,1.1913,9.53,
004602,,,1.9,5,SOLDADORA ELECTRICA-CD/DC 250,,,1.0,0.078798,,,Unidades,5.125,41.0,
004570,,,1.9,5,EXTENSION ELECTRICA-ESTANDAR,,,1.0,0.078798,,,Unidades,0.1713,1.37,
004562,,,1.9,5,ESMERIL 7´´-VARIOS,,,1.0,0.078798,,,Unidades,0.5113,4.09,
008135,,,1.9,5,SEÑORITA DE CADENA 1 1/2 TON,,,2.0,0.157595,,,Unidades,0.3125,2.5,
004817,,,1.9,5,KIT DE ESLINGAS PARA IZAMIENTO,,,2.0,0.157595,,,Unidades,0.25,2.0,
004557,,,1.9,5,EQUIPO DE OXICORTE-HARRIS / VICTOR,,,1.0,0.078798,,,Unidades,0.995,7.96,
007981,,,1.9,5,CARRETILLA DE 2 RUEDAS (CARRUCHA),,,1.0,0.078798,,,Unidades,0.325,2.6,
004544,,,1.9,5,CARETA FACIAL-ESTANDAR,,,0.5,0.039399,,,Unidades,0.125,1.0,
1.10,,,1,2,Corte y Preparación de Laminas de AC para Posterior Cilindrado. (corte y biselado en taller),,,,1.0,1115.0,8,kg,,,
002575,,,1.10,4,PLANIFICADOR,,,0.13,0.000933,,,Dias,2.4963,19.97,
000767,,,1.10,4,CAPATAZ,,,0.5,0.003587,,,Dias,2.2075,17.66,
002343,,,1.10,4,OPERADOR,,,1.0,0.007175,,,Dias,1.6425,13.14,
000307,,,1.10,4,AYUDANTE,,,2.0,0.01435,,,Dias,1.1913,9.53,
BIS-001,,,1.10,5,BISELADORA,,,0.5,0.003587,,,Unidades,2.0313,16.25,
MCO-ESAB,,,1.10,5,MESA DE CORTE OXICORTE ESAB,,,1.0,0.007175,,,Unidades,5.625,45.0,
007861,,,1.10,5,MONTACARGAS 3TON / SIN OPERADOR,,,0.25,0.001794,,,Unidades,5.625,45.0,
1.11,,,1,2,Cilindrado de Láminas de Acero al Carbono.,,,,1.0,544.0,8,kg,,,
002575,,,1.11,4,PLANIFICADOR,,,0.13,0.001912,,,Dias,2.4963,19.97,
000767,,,1.11,4,CAPATAZ,,,0.5,0.007353,,,Dias,2.2075,17.66,
002343,,,1.11,4,OPERADOR,,,1.1,0.016176,,,Dias,1.6425,13.14,
