code,group,sub_group,parent,type,name,url,provider,available,quantity,performance,hours_day,uom_id,price
1046,,,1.1.8,5,"LLAVE COMBINADA 9/16""",,,1.0,0.4444,,,Horas,0.13
1050,,,1.1.8,5,"LLAVE AJUSTABLE 12"" LOBSTER",,,1.0,0.4444,,,Horas,0.04
1.1.9,,,1,2,"Desmontaje de soportes superior e inferior (ángulo 3""x 3"" y pletina de 3"") (MLGF) ",,,,12.0,30.0,8,m,
501,,,1.1.9,4,PLANIFICADOR,,,1.0,0.2667,,,Horas,3.76
502,,,1.1.9,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.2667,,,Horas,3.76
533,,,1.1.9,4,CAPATAZ,,,1.0,0.2667,,,Horas,3.49
2,,,1.1.9,4,AYUDANTE,,,1.0,0.2667,,,Horas,2.47
141,,,1.1.9,4,FABRICADOR 1RA,,,1.0,0.2667,,,Horas,2.87
1086,,,1.1.9,5,MECATE,,,1.0,0.2667,,,Horas,0.02
666,,,1.1.9,5,CARRUCHA DE 2 RUEDAS,,,1.0,0.2667,,,Horas,0.33
432,,,1.1.9,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1.0,0.2667,,,Horas,1.0
1.1.10,,,1,2,Corte y desmontaje de tubería (MLGF) ,,,,20.0,90.0,8,Unidades,
501,,,1.1.10,4,PLANIFICADOR,,,1.0,0.0889,,,Horas,3.76
502,,,1.1.10,4,SUPERVISOR DE SEGURIDAD,,,1.0,0.0889,,,Horas,3.76
533,,,1.1.10,4,CAPATAZ,,,1.0,0.0889,,,Horas,3.49
141,,,1.1.10,4,FABRICADOR 1RA,,,1.0,0.0889,,,Horas,2.87
2,,,1.1.10,4,AYUDANTE,,,1.0,0.0889,,,Horas,2.47
432,,,1.1.10,5,EQUIPO DE OXIACETILENO C/ACCESORIOS,,,1.0,0.0889,,,Horas,1.0
1127,,,1.1.10,5,ILUMINACION PROVISIONAL (REFLECTOR),,,1.0,0.0889,,,Horas,0.19
1007,,,1.1.10,5,EXTENSION ELECTRICA 100 MTS,,,1.0,0.0889,,,Horas,0.16
666,,,1.1.10,5,CARRUCHA DE 2 RUEDAS,,,1.0,0.0889,,,Horas,0.25
1086,,,1.1.10,5,MECATE,,,1.0,0.0889,,,Horas,0.02
